CityId,CityCount,CityName
3000,610,Mumbai All
3001,814,Delhi NCR
10,668,New Delhi
1,488,Mumbai
2,379,Bangalore
105,292,Hyderabad
176,185,Chennai
12,166,Pune
128,149,Ahmedabad
198,85,Kolkata
40,81,Thane
220,74,Lucknow
246,65,Gurgaon
177,63,Coimbatore
5,46,Indore
13,35,Navi Mumbai
225,35,Ghaziabad
31,31,Nashik
224,28,Noida
160,27,Jaipur
234,24,Ludhiana
244,24,Chandigarh
3,21,Nagpur
9,19,Kochi
125,18,Raipur
222,18,Allahabad
233,18,Jalandhar
273,18,Faridabad
145,17,Vadodara
221,16,Agra
4,16,Bhopal
143,13,Surat
210,12,Patna
243,11,Bhubaneswar
117,9,Visakhapatnam
262,9,Dehradun
17,8,Aurangabad
231,7,Amritsar
165,6,Jodhpur
200,6,Ernakulam
237,6,Kanpur
267,6,Aligarh
569,6,Malappuram
1425,5,Kanpur Nagar
184,5,Madurai
250,5,Varanasi
314,5,Yamunanagar
328,5,Thrissur
350,5,Moradabad
394,5,Secunderabad
835,5,Thiruvananthapuram
8,5,Panvel
14,4,Ahmednagar
194,4,Trichy
226,4,Guwahati
235,4,Mohali
261,4,Gorakhpur
269,4,Bhilai
277,4,Meerut
287,4,Rajahumundry
311,4,Rewari
312,4,Sirsa
326,4,Kannur
691,4,Kadapa
808,4,Sonipat
88,4,Satna
107,3,Khammam
108,3,Krishna
141,3,Rajkot
146,3,Valsad
166,3,Kota
174,3,Udaipur
186,3,North Arcot
195,3,Tirunelveli
208,3,Mangalore
209,3,Vijaywada
211,3,Jamshedpur
253,3,Karnal
264,3,Rohtak
340,3,Erode
342,3,Nagercoil
399,3,Kollam
421,3,Howrah
469,3,Firozabad
7,3,Jabalpur
1043,2,Kharar
1078,2,Rajula
116,2,Srikakulam
119,2,Warangal
122,2,Durg
135,2,Gandhi Nagar
1381,2,North Goa
1458,2,Budaun
15,2,Akola
171,2,Sriganganagar
193,2,Thanjavur
219,2,Siliguri
223,2,Bareilly
22,2,Dhule
236,2,Patiala
245,2,Cuttack
249,2,Panipat
268,2,Sangrur
28,2,Kolhapur
294,2,Porbandar
295,2,Vapi
336,2,Moga
347,2,Tiruppur
352,2,Shahjahanpur
354,2,Rudrapur
363,2,Anand
366,2,Navsari
36,2,Sangli
386,2,Karur
390,2,Davangere
393,2,Mavelikara
436,2,Basti
454,2,Ankleshwar
45,2,Bellary
46,2,Bidar
478,2,Nadiad
52,2,Gulbarga
556,2,Ichalkaranji
737,2,Pen
73,2,Gwalior
755,2,Chengalpattu
96,2,Ujjain
1012,1,Akluj
101,1,Chittoor
1029,1,Dombivali
1052,1,Virar
106,1,Karimnagar
1106,1,Chalisgaon
111,1,Nalgonda
1245,1,Malvan
1261,1,Palghar
1305,1,Malout
1315,1,Kopargaon
131,1,Bharuch
132,1,Bhavnagar
133,1,Bhuj
1395,1,Kupwara
139,1,Mehsana
1462,1,Bhiwadi
147,1,Ajmer
153,1,Bikaner
155,1,Chittorgarh
181,1,Dindigul
185,1,Nilgiris
189,1,Pudukkottai
191,1,Salem
201,1,Shillong
207,1,Hubli
20,1,Buldhana
212,1,Kottayam
228,1,Panaji
232,1,Bathinda
238,1,Dibrugarh
247,1,Jeypore
256,1,Goa
258,1,Sambalpur
259,1,Jammu
263,1,Roorkee
271,1,Kozhikode
274,1,Faizabad
275,1,Ambala Cantt
278,1,Ulhasnagar
27,1,Jalna
280,1,Ranchi
282,1,Dhanbad
288,1,Kurukshetra
290,1,Mandi
291,1,Panchkula
293,1,Gandhidham
29,1,Latur
302,1,Bhagalpur
304,1,Vellore
30,1,Nanded
310,1,Kaithal
313,1,Sonepat
338,1,Nawanshahr
33,1,Parbhani
348,1,Jhansi
349,1,Mathura
351,1,Muzaffarnagar
358,1,Pondicherry
373,1,Kanhangad
375,1,Palakkad
377,1,Thiruvalla
37,1,Satara
388,1,Pollachi
38,1,Solapur
395,1,Vasai
397,1,Durgapur
406,1,Renukut
410,1,Allappuzha
415,1,Haridwar
41,1,Wardha
426,1,Zirakpur
432,1,Ballia
433,1,Pratapgarh
442,1,Sonbhadra
44,1,Belgaum
452,1,Darbhanga
458,1,Bulandshahar
474,1,Kancheepuram
510,1,Mangalagiri
513,1,Gudivada
561,1,Kashipur
568,1,Manali
575,1,Faridkot
589,1,Morbi
592,1,Fatehabad
594,1,Tuticorin
603,1,Kangra
604,1,Hardoi
60,1,Tumkur
617,1,Rajsamand
652,1,Panruti
666,1,Dausa
66,1,Chhatarpur
6,1,Kalyan
787,1,Unnao
802,1,Srivilliputtur
819,1,Baramulla
